来自资产处,,,,,,,,,,,,来自档案馆,,,,来自基建处,,,汇总结论,
,房屋,所属楼层,房号,名称,房间用途,使用部门,使用人,"建筑面积
(㎡)","使用面积
(㎡)","实际使用人
数(人)",备注,楼栋,"规划许可证
功能用途",竣工验收报告功能属性,消防合格书功能认定,"施工图
消防定性",,,"是否为稀缺性
功能空间",
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,907,907,普通教室,物理学院,,76.64,42.20,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,908,908,普通教室,物理学院,,110.43,60.80,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,909,909,普通教室,物理学院,,118.24,65.10,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,910,910,普通教室,物理学院,,45.22,24.90,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,911,911,普通教室,物理学院,,47.58,26.20,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,912,912,普通教室,物理学院,,100.45,55.30,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,912-1-2,912-1-2,普通教室,物理学院,,49.94,27.50,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),9层,913,913,普通教室,物理学院,,99.36,54.70,,邹志刚装修过渡用房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1001,1001,普通教室,空置用房,,114.98,63.30,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1002,1002,普通教室,空置用房,,110.43,60.80,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1003,1003,普通教室,空置用房,,118.24,65.10,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1004,1004,普通教室,空置用房,,99.90,55.00,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1005,1005,普通教室,空置用房,,103.71,57.10,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1006,1006,普通教室,空置用房,,99.90,55.00,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1007,1007,普通教室,空置用房,,76.64,42.20,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1008,1008,普通教室,空置用房,,110.43,60.80,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1009,1009,普通教室,空置用房,,118.24,65.10,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1010,1010,普通教室,空置用房,,45.22,24.90,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1011,1011,普通教室,空置用房,,47.58,26.20,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1012,1012,普通教室,空置用房,,100.45,55.30,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),10层,1013,1013,普通教室,空置用房,,99.36,54.70,,空,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1101,1101,普通教室,现代数学研究所,,104.26,57.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1102,1102,普通教室,现代数学研究所,,110.43,60.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1103,1103,普通教室,现代数学研究所,,118.79,65.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1104,1104,普通教室,现代数学研究所,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1105,1105,普通教室,现代数学研究所,,99.90,55.00,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1106,1106,普通教室,现代数学研究所,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1107,1107,普通教室,现代数学研究所,,118.79,65.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1108,1108,普通教室,现代数学研究所,,110.43,60.80,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1109,1109,普通教室,现代数学研究所,,99.36,54.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1110,1110,普通教室,现代数学研究所,,99.36,54.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1111,1111,普通教室,现代数学研究所,,100.45,55.30,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),11层,1112,1112,普通教室,现代数学研究所,,99.36,54.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1201,1201,普通实验室、实习场所,电子科学与工程学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1202,1202,普通实验室、实习场所,电子科学与工程学院,,237.99,131.03,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1203,1203,普通实验室、实习场所,电子科学与工程学院,,304.58,167.69,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1204,1204,普通实验室、实习场所,电子科学与工程学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1205,1205,普通实验室、实习场所,电子科学与工程学院,,237.19,130.59,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),12层,蒙-1206,1206,普通实验室、实习场所,电子科学与工程学院,,299.80,165.06,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1301,1301,普通实验室、实习场所,电子科学与工程学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1302,1302,普通实验室、实习场所,电子科学与工程学院,,237.99,131.03,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1303-1304,1303-1304,普通实验室、实习场所,地球科学与工程学院,,198.09,109.06,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1305,1305,普通实验室、实习场所,空置用房,,96.96,53.38,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1306,1306,普通实验室、实习场所,电子科学与工程学院,,69.14,38.07,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1307,1307,普通实验室、实习场所,电子科学与工程学院,,237.19,130.59,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),13层,蒙-1308,1308,普通实验室、实习场所,电子科学与工程学院,,299.80,165.06,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1401,普通实验室,普通实验室、实习场所,计算机科学与技术学院,,104.44,57.50,,计算中心,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1402,普通实验室、实习场所,普通实验室、实习场所,空置用房,,66.65,36.70,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1403,普通实验室,普通实验室、实习场所,空置用房,,58.84,32.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1404,1404,专用科研用房,研究机构,,105.17,57.90,,南京大学中产化研究中心,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1405,普通实验室、实习场所,普通实验室、实习场所,空置用房,,98.99,54.50,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1406,正教授工作室,正教授工作室,空置用房,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1407,学生工作办公室,学生工作办公室,空置用房,,47.94,26.40,,,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1408,普通实验室,普通实验室、实习场所,现代工程与应用科学学院,,120.97,66.60,,库房,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1409,普通实验室、实习场所,专用科研用房,工程管理学院,李迁,115.34,63.50,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1410,普通实验室、实习场所,专用科研用房,工程管理学院,盛昭瀚,53.76,29.60,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1411,普通实验室、实习场所,专用科研用房,工程管理学院,陶莎,53.76,29.60,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
,蒙民伟楼(科技二期科技馆、科技大楼南楼),14层,1412,普通实验室、实习场所,专用科研用房,工程管理学院,徐峰,118.06,65.00,1,使用期限2年（自2021.10.15开始）,,,,,,,,,
